nominal,nominal,nominal,nominal,ordinal / absolute,ordinal / absolute,ordinal / absolute,ordinal / absolute,ordinal / absolute,ordinal / absolute,,,,,,,,
ElSegundocity,CA,?,?,?,7,44.69,6,434.14,6748.39,,,,,,,,
Nacogdochescity,TX,?,?,?,13,40.18,25,689.27,4280.9,,,,,,,,
Dentoncity,TX,?,?,?,41,58.15,56,694.91,4887.04,,,,,,,,
Claremorecity,OK,?,?,?,5,31.92,1,210.67,3255.87,,,,,,,,
Odessacity,TX,?,?,10,39,40.39,59,798.57,8426.98,,,,,,,,
Taylorcity,TX,?,?,?,5,40.49,0,736.96,4186.91,,,,,,,,
Orangecity,CA,?,?,5,30,25.56,42,473.71,4686.81,,,,,,,,
Portsmouthcity,OH,145,64304,?,30,124.94,20,662.2,7933.86,,,,,,,,
OregonCitycity,OR,?,?,10,3,18.31,7,463.84,5932.26,,,,,,,,
Washingtoncity,MO,?,?,?,2,17.5,2,507.39,3927.92,,,,,,,,
Campbellcity,CA,?,?,?,17,45.33,9,391.99,5037.2,,,,,,,,
Sedaliacity,MO,?,?,?,8,39.16,0,582.45,5599.33,,,,,,,,
Astoriacity,OR,?,?,?,8,77.15,3,298.97,5111.39,,,,,,,,
Woodburycity,NJ,15,82120,?,2,18.82,0,517.6,5458.31,,,,,,,,
Montereycity,CA,?,?,?,12,40.05,14,874.44,6244.58,,,,,,,,
Orangeburgcity,SC,?,?,?,7,50.74,5,1790.5,10344.33,,,,,,,,
Beaconcity,NY,27,5100,?,5,37.02,3,651.61,2302.85,,,,,,,,
Auroracity,IL,?,?,?,?,?,54,?,5473.6,,,,,,,,
Norwoodcity,OH,61,57386,?,16,71.19,6,489.45,5753.31,,,,,,,,
Medfordcity,MA,17,39835,0,8,14.29,4,778.93,3115.73,,,,,,,,
Bexleycity,OH,49,6278,?,1,7.44,4,282.67,4202.93,,,,,,,,
Maderacity,CA,?,?,?,23,67.88,13,1230.71,6658.21,,,,,,,,
Hibbingcity,MN,137,28790,?,?,?,0,?,1570.48,,,,,,,,
Nortontown,MA,5,49970,?,0,0,0,186.22,1935.36,,,,,,,,
Fridleycity,MN,3,22814,?,?,?,4,?,6981.84,,,,,,,,
Scarboroughtown,ME,5,66145,?,3,23.75,0,110.86,3436.53,,,,,,,,
RanchoCucamongacity,CA,?,?,?,31,26.87,24,340.63,4352.73,,,,,,,,
MachesneyParkvillage,IL,?,?,?,?,?,3,?,5594.26,,,,,,,,
Morristowncity,TN,?,?,?,13,58.13,18,384.56,6255.87,,,,,,,,
Adriancity,MI,91,440,?,?,?,3,?,4933.64,,,,,,,,
Dearborncity,MI,163,21000,0,?,?,17,?,7928.05,,,,,,,,
OilCitycity,PA,121,56456,?,5,42.27,8,109.9,3998.65,,,,,,,,
Frasercity,MI,99,30420,?,?,?,4,?,4250.51,,,,,,,,
Tallmadgecity,OH,153,76106,?,4,26,15,208.02,3737.89,,,,,,,,
Brownsvillecity,TN,?,?,?,11,105.34,1,1522.7,5420.42,,,,,,,,
Jacksonvillecity,FL,31,?,0,699,102.92,387,1681.08,8316.74,,,,,,,,
Springtownship,PA,11,72824,?,5,26.01,1,62.43,1050.88,,,,,,,,
Greenfieldcity,IN,?,?,?,0,0,2,30.44,2184.17,,,,,,,,
Kellercity,TX,?,?,?,7,36.51,1,323.35,1324.71,,,,,,,,
Pascocity,WA,?,?,?,24,101.66,6,881.06,5900.54,,,,,,,,
DalyCitycity,CA,?,?,?,14,14.81,6,579.84,3115.05,,,,,,,,
Fitchburgcity,MA,27,23875,?,38,102.91,12,1700.7,5291.66,,,,,,,,
Selmacity,CA,?,?,?,4,24.24,12,1339.48,5630.64,,,,,,,,
NorthAndovertown,MA,9,46365,?,7,29,0,165.71,2158.42,,,,,,,,
Hueytowncity,AL,?,?,?,3,19.29,?,527.37,?,,,,,,,,
LaVernecity,CA,?,?,?,2,6.01,13,261.47,3849.97,,,,,,,,
Tupelocity,MS,?,?,?,6,18,3,300,7305.07,,,,,,,,
ElkCitycity,OK,?,?,?,6,56.32,1,234.68,4881.25,,,,,,,,
Carteretborough,NJ,23,10750,?,14,72.81,0,462.84,3479.12,,,,,,,,
Lamesacity,TX,?,?,?,2,18.58,0,706.19,?,,,,,,,,
McKinneycity,TX,?,?,?,25,92.51,6,1202.68,4888.43,,,,,,,,
Columbiaborough,PA,71,15384,?,8,69.24,5,519.3,4102.48,,,,,,,,
Perrytownship,OH,29,61798,?,5,16.06,10,253.7,2957.71,,,,,,,,
Northamptontownship,PA,17,54688,?,2,5.55,2,41.65,699.77,,,,,,,,
BentonHarborcity,MI,21,7520,?,?,?,23,?,12994.95,,,,,,,,
Eufaulacity,AL,?,?,?,6,43.37,?,686.71,?,,,,,,,,
PortHuroncity,MI,147,65820,?,?,?,30,?,5730.04,,,,,,,,
Carlsbadcity,CA,?,?,?,22,33.44,8,541.12,4865.48,,,,,,,,
Napacity,CA,?,?,?,20,31.37,79,611.64,4781.77,,,,,,,,
Daltoncity,GA,?,?,?,10,43.78,8,595.42,6348.23,,,,,,,,
Beloitcity,WI,105,6500,?,11,29.78,16,343.81,5698.58,,,,,,,,
Frankfortcity,KY,?,?,?,17,61.94,3,648.57,4693.02,,,,,,,,
Norwichtown,CT,11,56270,?,37,104.21,13,543.6,3993.92,,,,,,,,
DiamondBarcity,CA,?,?,?,5,8.46,14,470.21,2417,,,,,,,,
Evanstoncity,WY,?,?,?,6,49.62,0,272.91,5061.2,,,,,,,,
JerseyCitycity,NJ,17,36000,0,100,44.02,59,2017.65,6265.54,,,,,,,,
Marshalltowncity,IA,?,?,?,0,0,?,399.17,?,,,,,,,,
Maryvillecity,TN,?,?,?,19,83.26,4,604.73,2502.19,,,,,,,,
WinterParkcity,FL,?,?,?,10,42.04,7,870.26,7470.78,,,,,,,,
Conroecity,TX,?,?,?,30,95.33,5,1404.47,7778.59,,,,,,,,
Sheboygancity,WI,117,72975,?,11,21.66,22,145.74,5494.94,,,,,,,,
Racinecity,WI,101,66000,5,18,20.76,42,811.92,6709.88,,,,,,,,
Springfieldcity,MA,13,67000,0,120,80.01,?,?,?,,,,,,,,
Reddingcity,CA,?,?,?,62,84.62,20,631.89,6142.86,,,,,,,,
Templecity,TX,?,?,?,73,137.56,7,1164.57,5575.97,,,,,,,,
UpperGwyneddtownship,PA,91,79056,?,1,8.06,3,56.43,1644.5,,,,,,,,
Jamestowncity,ND,93,40580,?,8,51.82,6,129.56,2617.09,,,,,,,,
Doylestowntownship,PA,17,19792,?,2,13.55,4,291.41,1328.27,,,,,,,,
Foxboroughtown,MA,21,24820,?,4,26.53,0,199,1247.1,,,,,,,,
HighlandParkcity,MI,163,38180,0,?,?,15,?,9427.69,,,,,,,,
DesPlainescity,IL,?,?,?,?,?,10,?,3443.14,,,,,,,,
Nicholasvillecity,KY,?,?,?,3,19.94,0,471.89,3728.57,,,,,,,,
FortLauderdalecity,FL,?,?,5,76,45.97,63,1421.42,14206.91,,,,,,,,
Jacksonvillecity,AL,?,?,?,6,54.18,1,460.5,3033.86,,,,,,,,
Brecksvillecity,OH,35,8364,?,1,7.94,0,39.71,905.48,,,,,,,,
Peekskillcity,NY,119,56979,?,5,24.57,?,761.6,?,,,,,,,,
Radcliffcity,KY,?,?,?,16,79.8,1,369.08,3451.37,,,,,,,,
Wilbrahamtown,MA,13,79740,?,2,15.41,6,208.06,2743.32,,,,,,,,
Schertzcity,TX,?,?,?,2,15.47,5,278.38,2938.45,,,,,,,,
Northglenncity,CO,?,?,?,11,39.04,8,330.1,5061.58,,,,,,,,
Lynnwoodcity,WA,?,?,?,15,48.29,13,367.02,9848.36,,,,,,,,
NorthRidgevillecity,OH,93,56966,?,1,4.44,1,248.69,1390,,,,,,,,
Planocity,TX,?,?,0,32,19.96,19,303.7,4036.62,,,,,,,,
Kirklandcity,WA,?,?,?,13,30.27,11,221.18,3888.15,,,,,,,,
Saginawtownship,MI,145,70540,?,?,?,7,?,4080.37,,,,,,,,
SouthMiamicity,FL,?,?,?,3,27.2,2,1759,10952.94,,,,,,,,
WallaWallacity,WA,?,?,?,40,134.82,21,903.3,7624.12,,,,,,,,
MountProspectvillage,IL,?,?,?,?,?,3,?,3048.42,,,,,,,,
BalchSpringscity,TX,?,?,?,19,98.34,23,2008.28,5983.44,,,,,,,,
Kingsportcity,TN,?,?,?,5,12.79,15,570.65,5849.84,,,,,,,,
Windsortown,CT,3,87000,?,2,7.18,2,82.59,2574.6,,,,,,,,
Marshfieldtown,MA,23,38855,?,1,4.37,0,179.06,2166.22,,,,,,,,
Sanfordcity,FL,?,?,10,16,45.73,7,1440.54,9049.08,,,,,,,,
Rosenbergcity,TX,?,?,?,6,27.36,70,1199.22,7633.03,,,,,,,,
Camarillocity,CA,?,?,?,13,22.8,16,270.09,2023.89,,,,,,,,
Chicocity,CA,?,?,?,33,75.24,25,449.15,6313.13,,,,,,,,
Vernontownship,NJ,37,75740,?,1,4.61,0,115.14,2118.64,,,,,,,,
RockyMountcity,NC,?,?,10,25,47.3,10,1275.11,9192.55,,,,,,,,
Jenningscity,LA,?,?,?,4,33.47,3,1204.92,6827.88,,,,,,,,
Sanduskycity,OH,43,70380,?,29,95.7,2,290.39,6771.38,,,,,,,,
Binghamtoncity,NY,7,6607,0,18,35.26,9,284.04,5870.71,,,,,,,,
Ashlandcity,KY,?,?,?,7,28.59,0,514.54,3540.51,,,,,,,,
Hazlettownship,NJ,25,30690,?,0,0,1,69.59,1317.85,,,,,,,,
MidwestCitycity,OK,?,?,10,36,66.91,10,513,5817.74,,,,,,,,
PhenixCitycity,AL,?,?,?,29,99.5,?,816.58,?,,,,,,,,
WestMifflinborough,PA,3,83512,?,2,8.54,3,469.8,4317.93,,,,,,,,
Johnstowncity,PA,21,38288,?,19,69.44,10,694.37,4129.66,,,,,,,,
Gainesvillecity,TX,?,?,?,5,34.65,2,277.22,4809.76,,,,,,,,
PortAngelescity,WA,?,?,?,14,72.84,13,239.32,6461.68,,,,,,,,
Modestocity,CA,?,?,5,80,45.14,284,813.57,6641.13,,,,,,,,
Shivelycity,KY,?,?,?,11,70.29,0,632.63,4013.04,,,,,,,,
Plainstownship,PA,79,61120,?,2,17.9,1,178.97,3319.91,,,,,,,,
Galvestoncity,TX,?,?,10,56,92.81,60,1756.74,9363.76,,,,,,,,
Flinttownship,MI,49,29020,?,?,?,8,?,7307.04,,,,,,,,
Saratogacity,CA,?,?,?,4,13.33,2,173.3,1753.04,,,,,,,,
Berkleycity,MI,125,7660,?,?,?,0,?,2173.78,,,,,,,,
VentnorCitycity,NJ,1,75620,?,0,0,0,313.48,5919.23,,,,,,,,
Vacavillecity,CA,?,?,?,20,23.97,27,433.92,3846.57,,,,,,,,
Amescity,IA,?,?,?,16,34.21,?,91.93,?,,,,,,,,
SouthSaltLakecity,UT,?,?,?,7,61.15,7,602.73,14142.21,,,,,,,,
Guilfordtown,CT,9,34950,?,1,4.98,1,44.79,2662.35,,,,,,,,
Saugustown,MA,9,60015,?,2,7.39,?,491.54,?,,,,,,,,
Alexandriacity,VA,510,1000,0,33,28.94,31,659.56,6668.42,,,,,,,,
Caycecity,SC,?,?,?,7,66.54,0,1292.78,7813.69,,,,,,,,
Leesburgtown,VA,?,?,10,8,40.05,1,150.18,2432.92,,,,,,,,
Rowlettcity,TX,?,?,?,8,25.22,5,349.87,2937.65,,,,,,,,
Nutleytownship,NJ,13,53680,?,3,10.89,15,279.55,2508.71,,,,,,,,
Kelsocity,WA,?,?,?,30,241.06,11,739.25,8155.89,,,,,,,,
Donnacity,TX,?,?,?,7,47.46,0,284.75,8922.03,,,,,,,,
Hollywoodcity,FL,?,?,5,42,33.1,21,822.7,8282.9,,,,,,,,
Pittsburghcity,PA,3,61000,0,226,63.7,335,1262.47,6896.95,,,,,,,,
Wethersfieldtown,CT,3,84900,?,3,11.68,2,210.28,2675.23,,,,,,,,
Florencecity,KY,?,?,?,5,22.75,0,464.08,5286.86,,,,,,,,
Whitehallborough,PA,3,84512,?,3,21.27,0,42.54,843.73,,,,,,,,
Cliftoncity,NJ,31,13690,0,8,10.75,5,205.68,3085.26,,,,,,,,
Plymouthtown,MA,23,54310,?,14,28.86,1,896.83,3195.61,,,,,,,,
FortCollinscity,CO,?,?,?,68,67.05,27,383.57,4344.48,,,,,,,,
Lincolntown,RI,7,41500,?,8,42.98,1,75.22,3771.56,,,,,,,,
Rosemeadcity,CA,?,?,?,10,19.13,10,1262.31,3798.41,,,,,,,,
Ashlandcity,OR,?,?,?,5,28.98,12,144.9,5633.8,,,,,,,,
MiamiShoresvillage,FL,?,?,?,2,18.16,1,1425.33,9568.77,,,,,,,,
OaklandParkcity,FL,?,?,?,27,91.2,2,1607.89,13200.92,,,,,,,,
NewCastlecity,IN,?,?,?,6,31.78,0,121.81,6164.6,,,,,,,,
Plainviewcity,TX,?,?,?,4,17.59,7,567.16,5355.02,,,,,,,,
Laconiacity,NH,1,40180,?,62,401.35,44,627.91,6194.98,,,,,,,,
Franklintown,MA,21,25065,?,2,7.7,0,69.34,1032.44,,,,,,,,
Wilkinsburgborough,PA,3,85188,?,19,93.42,11,2586.29,5575.77,,,,,,,,
Pecoscity,TX,?,?,?,1,8.41,0,235.59,3474.97,,,,,,,,
BattleCreekcity,MI,25,5920,0,?,?,27,?,6241.16,,,,,,,,
Clearfieldcity,UT,?,?,?,5,20.95,7,180.13,2836.08,,,,,,,,
PompanoBeachcity,FL,?,?,10,54,70.24,29,2682.28,11058.21,,,,,,,,
Warwicktownship,PA,71,81168,?,0,0,0,16.92,516.16,,,,,,,,
Westfordtown,MA,17,76135,?,1,5.88,0,94.15,1253.38,,,,,,,,
WarrensvilleHeightscity,OH,35,80990,?,9,56.93,9,929.91,4067.56,,,,,,,,
Alvincity,TX,?,?,?,5,22.79,2,350.93,5660.38,,,,,,,,
Everettcity,WA,?,?,5,116,151.12,60,530.22,7817.87,,,,,,,,
Beavertoncity,OR,?,?,?,17,28.13,29,316.1,5085.73,,,,,,,,
Wilmingtoncity,OH,?,?,?,9,77.47,0,421.76,4484.42,,,,,,,,
Alabastercity,AL,?,?,?,3,17.24,?,137.94,?,,,,,,,,
Martinsvillecity,IN,?,?,?,1,8.03,3,216.87,3935.74,,,,,,,,
PomptonLakesborough,NJ,31,60090,?,0,0,0,54.25,2242.31,,,,,,,,
Amarillocity,TX,?,?,10,89,52.93,69,671.46,7617.37,,,,,,,,
Bethlehemcity,PA,77,6088,?,18,24.68,7,309.84,3644.04,,,,,,,,
Coltoncity,CA,?,?,?,15,36.19,18,1095.4,6878.83,,,,,,,,
Middletowntownship,PA,17,49120,?,5,11.07,?,106.23,?,,,,,,,,
Daphnecity,AL,?,?,?,0,0,?,123.33,?,,,,,,,,
Chesterfieldtownship,MI,99,15340,?,?,?,2,?,4012.32,,,,,,,,
LowerMakefieldtownship,PA,17,44968,?,0,0,0,23.52,2014.66,,,,,,,,
GardenGrovecity,CA,?,?,5,33,22.19,65,616.67,5849.28,,,,,,,,
Bridgewatertownship,NJ,35,7720,?,0,0,5,88.7,2500.79,,,,,,,,
SanFernandocity,CA,?,?,?,7,30.29,4,1129.23,4274.65,,,,,,,,
Radnortownship,PA,45,63264,?,2,6.85,1,58.23,1791.46,,,,,,,,
Hendersoncity,KY,?,?,?,20,74.91,9,1292.18,5775.5,,,,,,,,
Alliancecity,OH,151,1420,?,25,105.16,21,1013.71,9245.39,,,,,,,,
Andovertown,MA,9,1465,?,9,29.15,1,103.65,2753.13,,,,,,,,
Stocktoncity,CA,?,?,5,157,70.17,132,1564.23,9600.36,,,,,,,,
Windhamtown,ME,5,86025,?,2,15.23,3,91.37,3114.06,,,,,,,,
Ferndalecity,MI,125,27880,?,?,?,6,?,6252.41,,,,,,,,
Ephrataborough,PA,71,23832,?,3,23.56,0,125.67,2599.75,,,,,,,,
Albioncity,MI,25,980,?,?,?,3,?,4827.86,,,,,,,,
Bridgetoncity,MO,?,?,?,6,33.46,0,786.35,6424.63,,,,,,,,
Prescottcity,AZ,?,?,?,14,44.51,15,438.76,5118.91,,,,,,,,
Delanocity,CA,?,?,?,14,50.32,1,747.58,6954.68,,,,,,,,
Athenscity,AL,?,?,?,2,10.61,?,556.88,?,,,,,,,,
OakCreekcity,WI,79,58800,?,6,30.84,0,128.51,4467.18,,,,,,,,
EastRidgecity,TN,?,?,?,3,14.23,0,284.54,4599.99,,,,,,,,
Livoniacity,MI,163,49000,0,?,?,?,?,?,,,,,,,,
Eurekacity,CA,?,?,?,25,91.39,38,1089.42,10956.35,,,,,,,,
Escondidocity,CA,?,?,?,26,22.23,33,624.28,6481.43,,,,,,,,
CocoaBeachcity,FL,?,?,?,2,16.32,1,620.31,10218.74,,,,,,,,
ArroyoGrandecity,CA,?,?,?,5,32.85,6,696.31,3461.87,,,,,,,,
Shorewoodvillage,WI,79,73725,?,1,7.34,0,161.4,4152.3,,,,,,,,
Ocoeecity,FL,?,?,?,7,46.03,0,618.06,5799.2,,,,,,,,
SealBeachcity,CA,?,?,?,3,11.97,12,243.44,3412.22,,,,,,,,
Romecity,NY,65,63418,?,9,20.38,8,140.42,1929.7,,,,,,,,
Beckleycity,WV,?,?,?,13,70.22,12,1199.16,8097.01,,,,,,,,
Anaheimcity,CA,?,?,?,70,24.69,74,?,5913.55,,,,,,,,
Greenburghtown,NY,119,30367,?,2,4.87,4,233.77,3284.96,,,,,,,,
LakeJacksoncity,TX,?,?,?,4,15.65,1,66.52,2246.14,,,,,,,,
Paramountcity,CA,?,?,?,20,38.12,26,1964.89,5359.15,,,,,,,,
Fairmontcity,WV,?,?,?,1,4.83,0,521.89,3682.23,,,,,,,,
Herefordcity,TX,?,?,?,2,13.22,8,455.99,5075.34,,,,,,,,
Edinacity,MN,53,18188,?,?,?,8,?,3814.37,,,,,,,,
WestDeptfordtownship,NJ,15,78800,?,2,9.84,1,142.71,3110.08,,,,,,,,
Gardnercity,MA,27,25485,?,15,73.38,1,816.99,2739.59,,,,,,,,
Scherervilletown,IN,?,?,?,1,4.05,3,24.29,2724.37,,,,,,,,
VanBurencity,AR,?,?,?,2,11.69,1,105.23,5092.08,,,,,,,,
Piquacity,OH,?,?,?,26,124.57,3,210.81,5442.7,,,,,,,,
InverGroveHeightscity,MN,37,31076,?,?,?,19,?,3881.77,,,,,,,,
Coventrytown,CT,13,17800,?,0,0,5,87.96,2238.08,,,,,,,,
SanClementecity,CA,?,?,?,10,22.04,16,315.14,2781.21,,,,,,,,
Salemcity,MA,9,59105,?,14,37.13,3,230.76,5660.33,,,,,,,,
Lakewoodcity,CO,?,?,5,31,24,73,493.93,5650.82,,,,,,,,
Miamicity,FL,?,?,5,204,53.87,267,3829.21,14679.18,,,,,,,,
Manalapantownship,NJ,25,42990,?,2,7.16,2,89.44,1595.59,,,,,,,,
Narragansetttown,RI,9,48340,?,4,26.79,0,428.64,2913.4,,,,,,,,
Monroecity,NC,?,?,?,12,60.69,1,900.31,8203.94,,,,,,,,
BayCitycity,TX,?,?,?,5,25.98,3,592.36,?,,,,,,,,
Nederlandcity,TX,?,?,?,11,63.79,0,133.38,4662.49,,,,,,,,
Coatesvillecity,PA,29,14712,?,6,50.6,3,1054.23,4301.26,,,,,,,,
Fitchburgcity,WI,25,25950,?,1,5.82,0,232.83,2741.56,,,,,,,,
Calntownship,PA,29,10824,?,4,32.78,0,450.75,4179.64,,,,,,,,
Albuquerquecity,NM,?,?,5,259,61.71,231,1595.37,7757.66,,,,,,,,
PalmBeachGardenscity,FL,?,?,?,1,3.51,3,343.74,6674.85,,,,,,,,
Milfordtown,MA,27,41165,?,2,7.57,0,15.14,969,,,,,,,,
Arcatacity,CA,?,?,?,8,51.52,4,399.28,7702.22,,,,,,,,
UnionCitycity,CA,?,?,?,21,37.73,27,551.55,4895.71,,,,,,,,
Opelikacity,AL,?,?,?,17,70.81,?,2728.14,?,,,,,,,,
Middletowntown,CT,7,47360,?,5,11.73,3,220.58,4878.56,,,,,,,,
Dublincity,OH,?,?,?,2,9.15,0,64.07,3198.79,,,,,,,,
Parsippany-TroyHillstownship,NJ,27,56460,?,11,22.09,10,148.57,2640.19,,,,,,,,
RanchoPalosVerdescity,CA,?,?,?,4,9.08,8,324.61,1602.62,,,,,,,,
Gulfportcity,FL,?,?,?,2,16.96,3,1305.64,8707.08,,,,,,,,
Claremontcity,NH,19,12900,?,27,198.34,2,286.49,4121.06,,,,,,,,
Vancouvercity,WA,?,?,?,43,81.59,40,865.28,7464.9,,,,,,,,
Plainfieldcity,NJ,39,59190,0,28,62.19,16,1576.9,6603,,,,,,,,
Edgewatercity,FL,?,?,?,12,65.41,2,981.19,4175.52,,,,,,,,
Sandwichtown,MA,1,59735,?,2,12.18,0,541.89,2179.74,,,,,,,,
NewLondontown,CT,11,52350,?,11,48.26,6,710.78,6471.57,,,,,,,,
TempleCitycity,CA,?,?,?,7,20.65,11,542.71,2498.23,,,,,,,,
Brandoncity,MS,?,?,?,1,7.66,1,214.53,1126.26,,,,,,,,
Hamtramckcity,MI,163,36280,?,?,?,11,?,11179.49,,,,,,,,
Branchburgtownship,NJ,35,7180,?,2,17.09,9,76.9,1649.15,,,,,,,,
Durhamtown,NH,17,19700,?,9,75.37,3,108.87,2068.5,,,,,,,,
EastLongmeadowtown,MA,13,19645,?,3,21.85,3,276.81,27119.76,,,,,,,,
Middlesexborough,NJ,23,45900,?,0,0,1,141.44,2590.64,,,,,,,,
Brentwoodborough,PA,3,8416,?,1,9.48,1,237.1,1602.81,,,,,,,,
MissouriCitycity,TX,?,?,?,10,21.66,2,223.06,3101.18,,,,,,,,
Newarkcity,CA,?,?,?,12,30.18,21,809.72,5856.61,,,,,,,,
SouthCharlestoncity,WV,?,?,?,2,14.87,2,208.13,2921.28,,,,,,,,
Sunnyvalecity,CA,?,?,10,21,17.47,49,249.62,3942.26,,,,,,,,
Ocalacity,FL,?,?,0,53,98.08,25,1622.96,10389.18,,,,,,,,
Mahwahtownship,NJ,3,42750,?,1,5.35,6,80.24,2086.23,,,,,,,,
Scottsdalecity,AZ,?,?,10,29,18.38,23,251.6,5041.57,,,,,,,,
Pequannocktownship,NJ,27,58110,?,0,0,2,112.75,2322.61,,,,,,,,
Midlandcity,TX,?,?,0,83,84.72,26,457.27,5078.95,,,,,,,,
Voorheestownship,NJ,7,76220,?,6,23.44,11,269.6,4821.63,,,,,,,,
Snellvillecity,GA,?,?,?,4,27.11,0,81.34,3280.91,,,,,,,,
DelRiocity,TX,?,?,?,0,0,6,302.47,5236.28,,,,,,,,
SouthOgdencity,UT,?,?,?,3,22.62,0,173.4,4704.46,,,,,,,,
CedarCitycity,UT,?,?,?,5,31.05,0,93.16,3421.94,,,,,,,,
Augustacity,ME,11,2100,?,12,60.65,12,161.73,6135.65,,,,,,,,
PacificGrovecity,CA,?,?,?,3,18.07,6,554.08,3860.52,,,,,,,,
SanMarcoscity,TX,?,?,?,19,60.12,9,461.98,4768.53,,,,,,,,
Mansfieldcity,TX,?,?,?,2,10.23,1,659.78,3145.46,,,,,,,,
Newtowntown,CT,1,52980,?,0,0,3,28.45,1858.44,,,,,,,,
Waxahachiecity,TX,?,?,?,5,25.04,6,661.06,8268.23,,,,,,,,
LakeStationcity,IN,?,?,?,9,62.91,3,692.02,5647.98,,,,,,,,
RohnertParkcity,CA,?,?,?,12,30.97,17,957.64,4811.44,,,,,,,,
Bartlettvillage,IL,?,?,?,?,?,3,?,2352.65,,,,,,,,
Auburncity,WA,?,?,?,24,64.72,21,447.63,6226.4,,,,,,,,
Lewisvillecity,TX,?,?,?,32,61.41,20,293.63,5903.35,,,,,,,,
Springfieldcity,OR,?,?,?,20,41.11,28,515.95,7032.15,,,,,,,,
Georgetowncity,TX,?,?,?,4,22.31,5,278.88,3893.13,,,,,,,,
GardenCitycity,MI,163,31420,?,?,?,9,?,3839.37,,,,,,,,
Betheltown,CT,1,4720,?,0,0,4,95.47,1173.76,,,,,,,,
Decaturcity,AL,?,?,?,27,51.05,9,521.87,7345.85,,,,,,,,
NewBerncity,NC,?,?,?,16,86.91,12,2210.88,12923.03,,,,,,,,
Huntsvillecity,AL,?,?,5,82,50.74,61,1343.3,8405.06,,,,,,,,
Waterloocity,IA,13,94597,10,50,74.8,?,661.25,?,,,,,,,,
Murraycity,KY,?,?,?,6,41.65,1,333.19,2950.16,,,,,,,,
Melbournecity,FL,?,?,?,28,40.54,34,1461.01,7997.16,,,,,,,,
Maumeecity,OH,95,48342,?,0,0,1,339.84,4285.71,,,,,,,,
Watsonvillecity,CA,?,?,?,12,37.21,13,1513.08,7255.36,,,,,,,,
FondduLaccity,WI,39,26275,?,10,25.22,19,398.42,6667.17,,,,,,,,
WestBloomfieldtownship,MI,125,85480,?,?,?,12,?,2036.85,,,,,,,,
Tenaflyborough,NJ,3,72420,?,0,0,2,44.92,1849.22,,,,,,,,
Bloomfieldtown,CT,3,5910,?,4,20.51,2,446.04,4101.51,,,,,,,,
Bogalusacity,LA,?,?,?,13,86.62,6,1059.43,8049.04,,,,,,,,
LiveOakcity,TX,?,?,?,2,17.92,0,259.79,3878.89,,,,,,,,
ColoradoSpringsdivision,CO,41,90741,?,265,87.05,109,510.78,5965.75,,,,,,,,
Keansburgborough,NJ,25,36480,?,1,8.47,2,635.43,1914.77,,,,,,,,
CollegeStationcity,TX,?,?,?,19,32.56,1,219.36,3689.74,,,,,,,,
Westwoodtown,MA,21,78690,?,2,15.46,0,69.58,1469,,,,,,,,
Plymouthtownship,MI,163,65080,?,?,?,1,?,1885.01,,,,,,,,
Havelockcity,NC,?,?,?,1,4.65,3,255.89,2493.72,,,,,,,,
Borgercity,TX,?,?,?,3,19.74,2,243.47,3395.41,,,,,,,,
Chaskacity,MN,19,10972,?,?,?,1,?,3244.99,,,,,,,,
Dunmoreborough,PA,69,20352,?,4,26.91,1,148.02,2354.84,,,,,,,,
Ecorsecity,MI,163,24740,?,?,?,25,?,4033.79,,,,,,,,
Dubuquecity,IA,61,91085,?,43,72.45,44,303.26,4355.15,,,,,,,,
Woburncity,MA,17,81035,?,6,16.41,11,246.09,4634.69,,,,,,,,
Cerescity,CA,?,?,?,9,29.92,14,611.64,6867.67,,,,,,,,
CorpusChristicity,TX,?,?,10,194,69.14,214,792.93,9053.65,,,,,,,,
Winnetkavillage,IL,?,?,?,?,?,0,?,2487.48,,,,,,,,
Waterfordtown,CT,11,80280,?,4,22.41,5,336.13,4711.48,,,,,,,,
Petalumacity,CA,?,?,?,28,60.62,13,517.46,3570.27,,,,,,,,
Westerlytown,RI,9,77000,?,0,0,1,65.03,1467.72,,,,,,,,
OceanCitycity,NJ,9,54360,?,4,26.49,3,291.41,10404.66,,,,,,,,
Emmausborough,PA,77,23584,?,3,24.66,1,139.73,2885.09,,,,,,,,
Anokacity,MN,3,1720,?,?,?,11,?,5141.6,,,,,,,,
Gainesvillecity,FL,?,?,10,83,93.11,24,1573.82,10452.52,,,,,,,,
Plantationcity,FL,?,?,5,12,15.81,12,502.05,8631.03,,,,,,,,
BaldwinParkcity,CA,?,?,?,14,19.14,16,604.42,2998.85,,,,,,,,
Elkhartcity,IN,?,?,?,58,128.21,38,499.59,9100.96,,,,,,,,
Riversidecity,CA,?,?,5,131,53.94,338,1636.75,7621.71,,,,,,,,
Naugatucktown,CT,9,49950,?,6,19.37,10,80.73,2676.96,,,,,,,,
Pembertontownship,NJ,5,57510,?,22,68.57,20,377.16,2802.19,,,,,,,,
LittleFallstownship,NJ,31,40620,?,2,16.86,1,320.4,4460.37,,,,,,,,
Faribaultcity,MN,131,20546,?,?,?,10,?,5703.84,,,,,,,,
Loraincity,OH,93,44856,?,51,71.6,8,306.05,2754.42,,,,,,,,
Mansfieldcity,OH,139,47138,?,50,93.59,16,2493.17,7681.65,,,,,,,,
